FID,OID_1,XDSegID,PreviousXD,NextXDSegI,FRC,RoadNumber,RoadName,LinearID,Country,State,County,District,Miles,Lanes,SlipRoad,SpecialRoa,RoadList,StartLat,StartLong,EndLat,EndLong,Bearing,XDGroup,ShapeSRID,XDSegIDnum,Corridor,Period,Order
16227, ,1310285519,1310278627,1310361784,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Annandale,0.197788664,4,0, ,                I 495,38.86041,-77.22035,38.85755,-77.22036,                     S,1932475,4326,1310285519,I-495-S,PM,20
45711, ,1310465140,1310445403,1310583894,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.471527529,2.473,0, ,                I 66,38.89193,-77.06218,38.89556,-77.06779,                     W,260459,4326,1310465140,I-66-W,PM,1
65447, ,1310583894,1310465140,1310370645,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.090645629,3,0, ,                I 66,38.89556,-77.06779,38.89685,-77.06807,                     N,260459,4326,1310583894,I-66-W,PM,2
23328, ,1310324865,1310579121, ,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.258403424,2.166,0, ,                I 66,38.89428,-77.06782,38.8917,-77.06467,                     S,263139,4326,1310324865,I-66-W,PM,3
30679, ,1310370645,1310583894,1310370609,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.497152877,2,0, ,                I 66,38.89685,-77.06807,38.89866,-77.0763,                     W,260459,4326,1310370645,I-66-W,PM,4
64605, ,1310579121,135547224,1310324865,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.160444255,3,0, ,                I 66,38.89658,-77.06817,38.89428,-77.06782,                     S,263139,4326,1310579121,I-66-W,PM,5
30675, ,1310370609,1310370645,1310483821,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.499228257,2,0, ,                I 66,38.89866,-77.0763,38.8975,-77.08486,                     W,260459,4326,1310370609,I-66-W,PM,6
48577, ,1310483821,1310370609,1310483834,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.512569096,2,0, ,                I 66,38.8975,-77.08486,38.89782,-77.09407,                     W,260459,4326,1310483821,I-66-W,PM,7
48580, ,1310483834,1310483821, ,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.510611777,2,0, ,                I 66,38.89782,-77.09407,38.89334,-77.10083,                     W,260459,4326,1310483834,I-66-W,PM,8
33957, ,1310391046,1310589450,135173514,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.782219339,2,0, ,                I 66,38.89334,-77.10083,38.88846,-77.11329,                     W,260459,4326,1310391046,I-66-W,PM,9
2175, ,135173514,1310391046,1310359591,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.479282242,2,0, ,                I 66,38.88846,-77.11329,38.88411,-77.11977,                     W,260459,4326,135173514,I-66-W,PM,10
28842, ,1310359591,135173514,1310272515,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.37569345,2,0, ,                I 66,38.88411,-77.11977,38.88052,-77.12491,                     W,260459,4326,1310359591,I-66-W,PM,11
13740, ,1310272515,1310359591,1310272528,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.542488119,2,0, ,                I 66,38.88052,-77.12491,38.87942,-77.13476,                     W,260459,4326,1310272515,I-66-W,PM,12
13746, ,1310272528,1310272515,1310272310,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.459087678,2,0, ,                I 66,38.87942,-77.13476,38.88141,-77.14282,                     W,260459,4326,1310272528,I-66-W,PM,13
13704, ,1310272310,1310272528,1310391296,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.476554422,2,0, ,                I 66,38.88141,-77.14282,38.8842,-77.15092,                     W,260459,4326,1310272310,I-66-W,PM,14
33997, ,1310391296,1310272310,1310391309,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.431629285,2,0, ,                I 66,38.8842,-77.15092,38.8867,-77.15827,                     W,260459,4326,1310391296,I-66-W,PM,15
34000, ,1310391309,1310391296,1310242879,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.546328193,2,0, ,                I 66,38.8867,-77.15827,38.89173,-77.16596,                     W,260459,4326,1310391309,I-66-W,PM,16
8163, ,1310242879,1310391309,135156190,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.315035194,3,0, ,                I 66,38.89173,-77.16596,38.89504,-77.17,                     N,260459,4326,1310242879,I-66-W,PM,17
2147, ,135156190,1310242879,1310242888,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           McLean,0.487844737,3,0, ,                I 66,38.89504,-77.17,38.89827,-77.17802,                     W,260459,4326,135156190,I-66-W,PM,18
8164, ,1310242888,135156190,1310273179,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           McLean,0.454595164,3,0, ,                I 66,38.89827,-77.17802,38.90094,-77.18575,                     W,260459,4326,1310242888,I-66-W,PM,19
13866, ,1310273179,1310242888,1310310341,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Pimmit Hills,0.467184144,2,0, ,                I 66,38.90094,-77.18575,38.90058,-77.19417,                     W,260459,4326,1310273179,I-66-W,PM,20
20724, ,1310310341,1310273179, ,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Pimmit Hills,0.156181649,2,0, ,                I 66,38.90058,-77.19417,38.89929,-77.19656,                     W,260459,4326,1310310341,I-66-W,PM,21
40902, ,1310434604,1310527456,1310476018,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.080219021,2,0, ,                I 66,38.89929,-77.19656,38.89861,-77.19777,                     W,260459,4326,1310434604,I-66-W,PM,22
47386, ,1310476018,1310434604,1310390082,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.221817088,2,0, ,                I 66,38.89861,-77.19777,38.89668,-77.20106,                     W,260459,4326,1310476018,I-66-W,PM,23
33776, ,1310390082,1310476018,1310388956,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.80811809,2,0, ,                I 66,38.89668,-77.20106,38.88973,-77.21315,                     W,260459,4326,1310390082,I-66-W,PM,24
